href,apartment_type,price,address,square,building_floor,floor,commission_percent,time_of_creation,agency,metro_distance,metro_station,latitude,longitude,postal_code,area
/nizhniy_novgorod/kvartiry/1-k_kvartira_32_m_15_et._545109468,"
 1-к квартира",11000,"Южное ш., 30А",32.0,1,5,60,2020-07-06 10:27:00,Агентство,"1,7 км",Парк Культуры,56.226779,43.86681,603147.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_42_m_616_et._1846675904,"
 1-к квартира",13000,"Заречный б-р, 5",42.0,6,16,60,2020-07-06 10:08:00,Агентство,800 м,Заречная,56.283665,43.941353,603076.0,Ленинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_45_et._1783289741,"
 2-к квартира",12000,"Южное ш., 32",45.0,4,5,0,2020-07-06 09:27:00,,"1,7 км",Парк Культуры,56.227285,43.867942,603147.0,Автозаводский район
/nizhniy_novgorod/kvartiry/studiya_40_m_1015_et._902847650,"
 Студия",20000,"Малая Ямская ул., 63",40.0,10,15,70,2020-07-06 13:14:00,Агентство,1 км,Горьковская,56.309853,43.979989,603000.0,Советский район
/nizhniy_novgorod/kvartiry/studiya_19_m_1117_et._1943282677,"
 Студия",11000,"Южный б-р, 15",19.0,11,17,60,2020-07-06 08:41:00,Агентство,"2,7 км",Парк Культуры,56.2172,43.865059,603142.0,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_56_m_49_et._1976137954,"
 2-к квартира",17000,"ул. Ванеева, 227",56.0,4,9,60,2020-07-06 10:53:00,Агентство,,без метро,56.28405400000001,44.032972,603136.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_55_m_36_et._1872328303,"
 2-к квартира",21000,"ул. Мичурина, 1к1",55.0,3,6,0,2020-07-06 11:55:00,,400 м,Ленинская,56.300849,43.942017,603011.0,Ленинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_46_m_55_et._1961752893,"
 2-к квартира",10000,"ул. Веденяпина, 4А",46.0,5,5,50,2020-07-06 10:01:00,Агентство,800 м,Парк Культуры,56.236071,43.868005,603016.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_31_m_25_et._923946279,"
 1-к квартира",10000,"Сормовское ш., 14",31.0,2,5,0,2020-07-06 08:39:00,Агентство,100 м,Канавинская,56.321216,43.92627,603074.0,Московский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_100_m_58_et._1899545353,"
 3-к квартира",50000,"ул. Дунаева, 15",100.0,5,8,50,2020-07-06 14:18:00,Агентство,"1,7 км",Горьковская,56.314986,44.02239,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_32_m_45_et._1882470835,"
 1-к квартира",12000,"ул. Терешковой, 2А",32.0,4,5,50,2020-07-06 10:02:00,,,без метро,56.27570400000001,43.980762,603081.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_48_m_22_et._1535656886,"
 2-к квартира",16000,"ул. Сурикова, 7",48.0,2,2,0,2020-07-06 10:28:00,,,без метро,56.277528,43.988532,603081.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_64_m_710_et._1758780065,"
 2-к квартира",30000,"ул. Генкиной, 61",64.0,7,10,70,2020-07-06 13:15:00,Агентство,2 км,Горьковская,56.315411,44.027115,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_47_m_618_et._1918631616,"
 1-к квартира",23000,"Малая Ямская ул., 18к2",47.0,6,18,70,2020-07-06 13:13:00,Агентство,700 м,Горьковская,56.313628,43.984166,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_89_et._1974823806,"
 1-к квартира",11000,"пр-т Ленина, 102",35.0,8,9,60,2020-07-06 09:28:00,Агентство,500 м,Парк Культуры,56.242544,43.868275,603004.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_810_et._851888712,"
 1-к квартира",12000,"Гордеевская ул., 66",35.0,8,10,0,2020-07-06 08:44:00,,"1,2 км",Бурнаковская,56.33248100000001,43.928219,603116.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_15_et._1838340719,"
 2-к квартира",16000,"ул. Сурикова, 14",45.0,1,5,0,2020-07-06 10:27:00,,,без метро,56.277403,43.985217,603081.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_43_m_417_et._1974993542,"
 1-к квартира",13000,"Южный б-р, 20",43.0,4,17,60,2020-07-06 08:48:00,Агентство,"2,6 км",Парк Культуры,56.218456,43.867592,603142.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_31_m_49_et._1918036138,"
 1-к квартира",17000,"ул. Тимирязева, 3",31.0,4,9,0,2020-07-06 10:39:00,,900 м,Горьковская,56.306103,43.995431,603022.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_62_m_69_et._1963922613,"
 2-к квартира",20000,"ул. Родионова, 197",62.0,6,9,50,2020-07-06 12:19:00,Агентство,,без метро,56.301269,44.079064,603163.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_15_et._1067280728,"
 1-к квартира",15000,ул. Черняховского,33.0,1,5,0,2020-07-06 10:27:00,,"2,6 км",Буревестник,56.334053,43.849805,,Московский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_59_et._1938343230,"
 1-к квартира",10000,"6-й микрорайон, 45",35.0,5,9,0,2020-07-06 08:03:00,Агентство,2 км,Парк Культуры,56.226769,43.877267,,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_416_et._1967876910,"
 1-к квартира",16000,"Вятская ул., 8",34.0,4,16,0,2020-07-06 10:58:00,,,без метро,56.233384,43.969668,,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_50_m_35_et._1950349973,"
 1-к квартира",30000,"пл. Свободы, 7",50.0,3,5,70,2020-07-06 13:30:00,Агентство,"1,5 км",Горьковская,56.319245,44.016551,603006.0,Нижегородский район
