href,price,agency,commissionPercent,metroDistance,metroStation,adress,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area
/nizhniy_novgorod/kvartiry/studiya_24.7_m_610_et._1758873183,10000,,0 %,2.4 км,Парк Культуры,"Нижний Новгород, микрорайон Мончегорский, Мончегорская улица, 12к3",Автозаводская линия,Студия,24.7,6,10,   21 сентября 12:17 ,1 неделю назад,56.230577000000004,43.826602,,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_44_m_45_et._1176445828,18000,,0 %,550 м,Стрелка,"Нижний Новгород, ул Козицкого, д. 5/2−105",None,2-к квартира,44.0,4,5,   21 сентября 13:29 ,1 неделю назад,56.291479,44.047453000000004,603122.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_36_m_59_et._1772466786,13000,Агентство,0 %,3.6 км,Двигатель Революции,"Нижний Новгород, Пятигорская улица, 19",Автозаводская линия,1-к квартира,36.0,5,9,   21 сентября 12:17 ,1 неделю назад,56.265606999999996,43.976935,603009.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30_m_25_et._1800322315,12000,,0 %,500 м,Пролетарская,"Нижний Новгород, проспект Ленина",Автозаводская линия,1-к квартира,30.0,2,5,   21 сентября 11:55 ,1 неделю назад,56.263027,43.909048999999996,,Ленинский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_90_m_49_et._1158849787,35000,АГЕНТСТВО НЕДВИЖИМОСТИ «ROYAL HOUSE»,70 %,5.3 км,Горьковская,"Нижний Новгород, улица Родионова, 191",Автозаводская линия,3-к квартира,90.0,4,9,   21 сентября 13:48 ,1 неделю назад,56.303536,44.079037,603163.0,Нижегородский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_90_m_1418_et._1514670361,40000,АГЕНТСТВО НЕДВИЖИМОСТИ «ROYAL HOUSE»,70 %,1.1 км,Горьковская,"Нижний Новгород, улица Тимирязева, 3к2",Автозаводская линия,3-к квартира,90.0,14,18,   21 сентября 13:49 ,1 неделю назад,56.30445,43.997129,603022.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_55_m_36_et._1624422032,25000,АГЕНТСТВО НЕДВИЖИМОСТИ «ROYAL HOUSE»,70 %,700 м,Горьковская,"Нижний Новгород, Малая Ямская улица, 18к3",Автозаводская линия,1-к квартира,55.0,3,6,   21 сентября 13:50 ,1 неделю назад,56.313768,43.983394,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_60_m_319_et._1248378846,30000,АГЕНТСТВО НЕДВИЖИМОСТИ «ROYAL HOUSE»,70 %,500 м,Горьковская,"Нижний Новгород, улица Белинского, 15, подъезд 2",Автозаводская линия,2-к квартира,60.0,3,19,   21 сентября 13:48 ,1 неделю назад,56.31088199999999,44.001459000000004,603105.0,Советский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_100_m_910_et._500831033,40000,Агентство,без комиссии,5.7 км,Горьковская,"Нижний Новгород, Казанское шоссе. В. Печеры. Нижегородский район.",Автозаводская линия,3-к квартира,100.0,9,10,   21 сентября 14:48 ,1 неделю назад,56.323498,44.000336,,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_55_m_719_et._1644837167,30000,АГЕНТСТВО НЕДВИЖИМОСТИ «ROYAL HOUSE»,70 %,5.4 км,Горьковская,"Нижний Новгород, улица Родионова, 192к5",Автозаводская линия,2-к квартира,55.0,7,19,   21 сентября 13:45 ,1 неделю назад,56.307472,44.081165999999996,603093.0,Нижегородский район
