y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
1,No,0,2400,Парк Культуры,Автозаводская линия,Студия,24.7,6,10,1569057420,1 неделю назад,56.230577000000004,43.826602,603142,Автозаводский район,No
3,No,0,550,Стрелка,None,2-к квартира,44.0,4,5,1569061740,1 неделю назад,56.291479,44.047453000000004,603122,Советский район,No
2,Yes,0,3600,Двигатель Революции,Автозаводская линия,1-к квартира,36.0,5,9,1569057420,1 неделю назад,56.265606999999996,43.976935,603009,Приокский район,No
2,No,0,500,Пролетарская,Автозаводская линия,1-к квартира,30.0,2,5,1569056100,1 неделю назад,56.263027,43.909048999999996,603064,Ленинский район,No
4,Yes,70,5300,Горьковская,Автозаводская линия,3-к квартира,90.0,4,9,1569062880,1 неделю назад,56.303536,44.079037,603163,Нижегородский район,No
4,Yes,70,1100,Горьковская,Автозаводская линия,3-к квартира,90.0,14,18,1569062940,1 неделю назад,56.30445,43.997129,603022,Советский район,No
4,Yes,70,700,Горьковская,Автозаводская линия,1-к квартира,55.0,3,6,1569063000,1 неделю назад,56.313768,43.983394,603000,Нижегородский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,2-к квартира,60.0,3,19,1569062880,1 неделю назад,56.31088199999999,44.001459000000004,603105,Советский район,No
4,Yes,0,5700,Горьковская,Автозаводская линия,3-к квартира,100.0,9,10,1569066480,1 неделю назад,56.323498,44.000336,603005,Нижегородский район,No
4,Yes,70,5400,Горьковская,Автозаводская линия,2-к квартира,55.0,7,19,1569062700,1 неделю назад,56.307472,44.081165999999996,603093,Нижегородский район,No
3,No,50,2900,Горьковская,Автозаводская линия,3-к квартира,56.0,5,5,1569052080,1 неделю назад,56.29226800000001,44.021141,603146,Советский район,No
4,Yes,70,1500,Горьковская,Автозаводская линия,1-к квартира,54.0,7,9,1569063000,1 неделю назад,56.313738,44.018832,603024,Советский район,No
1,Yes,50,4300,Автозаводская,Автозаводская линия,1-к квартира,36.0,5,9,1569050340,1 неделю назад,56.228756000000004,43.949689,603137,Приокский район,No
3,Yes,60,1900,Буревестник,Сормовская линия,3-к квартира,67.0,3,10,1569051060,1 неделю назад,56.345953,43.871598,603157,Сормовский район,No
4,Yes,70,1700,Горьковская,Автозаводская линия,2-к квартира,67.0,8,9,1569062940,1 неделю назад,56.316593999999995,44.02159,603024,Советский район,No
4,Yes,70,2800,Горьковская,Автозаводская линия,2-к квартира,50.0,8,18,1569063000,1 неделю назад,56.32282900000001,44.037418,603024,Нижегородский район,No
